,datetime,open,high,low,close,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stochRsi_K_value,stochRsi_D_value,stochRsi_over_80,stochRsi_under_20,stochRsi_K_cross_D_bearish,stochRsi_K_cross_D_bullish,stoch_K_value,stoch_D_value,stoch_over_80,stoch_under_20,stoch_K_cross_D_bearish,stoch_K_cross_D_bullish,sma_9_value,price_over_sma_9,price_under_sma_9
0,2022-12-27 18:00:00,16670.35938,16678.2793,16653.84961,16654.69922,100.0,1,0,0.0,0.0,0.0,0,1,0,0,3.477776426952533,3.477776426952533,1,0,0,0,16654.69922,0,0
1,2022-12-27 17:30:00,16742.11914,16746.42969,16633.00977,16673.7207,100.0,1,0,0.0,0.0,0.0,0,1,0,0,35.89398581836506,19.685881122658795,1,0,0,1,16664.20996,1,0
2,2022-12-27 17:00:00,16767.66016,16775.85938,16735.30078,16743.93945,100.0,1,0,0.0,0.0,0.0,0,1,0,0,77.65487074133435,39.008877662217316,1,0,0,0,16690.78645666667,1,0
3,2022-12-27 16:30:00,16776.66016,16783.2207,16757.15039,16767.13086,100.0,1,0,0.0,0.0,0.0,0,1,0,0,89.28850250777329,67.6124530224909,1,0,0,0,16709.8725575,1,0
4,2022-12-27 16:00:00,16791.25,16794.63086,16748.85938,16771.68945,100.0,1,0,0.0,0.0,0.0,0,1,0,0,85.80543541687575,84.24960288866113,1,0,0,0,16722.235936,1,0
5,2022-12-27 15:30:00,16815.48047,16816.28906,16787.09961,16791.80078,100.0,1,0,0.0,0.0,0.0,0,1,0,0,86.63881773003489,87.24425188489465,1,0,1,0,16733.83007666667,1,0
6,2022-12-27 15:00:00,16770.94922,16828.41992,16741.74023,16816.28906,100.0,1,0,0.0,0.0,0.0,0,1,0,0,93.79210342963191,88.74545219218085,1,0,0,1,16745.60993142857,1,0
7,2022-12-27 14:30:00,16811.98047,16812.18945,16743.65039,16769.41992,72.18631648606927,0,0,0.0,0.0,0.0,0,1,0,0,69.80709548608397,83.41267221525027,1,0,1,0,16748.586180000002,1,0
8,2022-12-27 14:00:00,16815.01953,16823.99023,16809.33984,16811.5,78.08092521031054,0,0,0.0,0.0,0.0,0,1,0,0,91.34133001791345,84.98017631120977,1,0,0,1,16755.576604444446,1,0
9,2022-12-27 13:30:00,16829.05078,16829.89062,16805.75,16813.94922,78.36828327150135,0,0,0.0,0.0,0.0,0,1,0,0,91.90302154831214,84.35048235076987,1,0,0,0,16773.271048888888,1,0
