,open_time,open,high,low,close,volume,close_time,rsi,rsi_over_80,rsi_under_20,stochRsi,stochRsi_K_value,stochRsi_D_value,stochRsi_over_80,stochRsi_under_20,stochRsi_K_cross_D_bearish,stochRsi_K_cross_D_bullish,stoch,stoch_D_value,stoch_over_80,stoch_under_20,stoch_K_cross_D_bearish,stoch_K_cross_D_bullish,sma_9_value,price_over_sma_9,price_under_sma_9,pSar_value,price_over_pSar,price_under_pSar,obv,mfi,bb_upper_band,bb_lowe_band,bb_in_20_percent_of_band_top,bb_in_20_percent_of_band_bottom,bb_price_cross_upper_band_bearish,bb_price_cross_lower_band_bullish,macd,macd_signal,cci,nearest_sr,upper_support,under_resistance,hidden_rsi_divergence,regular_rsi_divergence,hidden_stochRsi_divergence,regular_stochRsi_divergence,hidden_stoch_divergence,regular_stoch_divergence,hidden_obv_divergence,regular_obv_divergence,hidden_mfi_divergence,regular_mfi_divergence,hidden_macd_divergence,regular_macd_divergence,hidden_cci_divergence,regular_cci_divergence,lch_in_20_percent_of_band_top,lch_in_20_percent_of_band_bottom
0,1633046400000,43820.01,44059.0,43661.63,43694.48,2001.56071,1633049999999,100.0,1,0,0.0,0.0,0.0,0,1,0,0,8.266854568791203,8.266854568791203,1,0,0,0,43694.48,0,0,43694.48,0,0,2001.56071,,,,0,0,0,0,,,,43702.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1633050000000,43696.14,43803.94,43417.61,43742.74,1292.55848,1633053599999,100.0,1,0,0.0,0.0,0.0,0,1,0,0,50.69146697017379,29.479160769482498,1,0,0,1,43718.61,1,0,43742.74,0,0,3294.11919,,,,0,0,0,0,,,,43750.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1633053600000,43742.74,43794.89,43283.03,43379.01,1348.70735,1633057199999,10.968948877542928,0,1,0.0,0.0,0.0,0,1,0,0,12.369034885369674,23.77578547477822,1,0,1,0,43605.41,0,1,44059.0,0,1,1945.41184,,,,0,0,0,0,,,,43379.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1633057200000,43379.0,43680.0,43352.28,43635.79,993.1198,1633060799999,46.90655585398166,0,0,0.0,0.0,0.0,0,1,0,0,45.460520380942754,36.17367407882874,1,0,0,1,43613.005000000005,1,0,44043.4806,0,1,2938.53164,,,,0,0,0,0,,,,43642.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1633060800000,43635.79,43715.71,43456.46,43625.02,982.32555,1633064399999,46.06664455055323,0,0,0.0,0.0,0.0,0,1,0,0,44.07258012551999,33.96737846394414,1,0,0,0,43615.408,1,0,44028.271588,0,1,1956.2060900000001,,,,0,0,0,0,,,,43642.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1633064400000,43625.02,43923.21,43515.61,43850.33,1190.57391,1633067999999,61.56984758639441,0,0,0.0,0.0,0.0,0,1,0,0,73.10849646249237,54.213865656318376,1,0,0,0,43654.56166666667,1,0,44013.36675624,0,1,3146.78,,,,0,0,0,0,,,,43839.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1633068000000,43850.32,44048.56,43729.0,43995.09,1537.37407,1633071599999,67.94526929665,0,0,0.0,0.0,0.0,0,1,0,0,91.76385685013553,69.6483111460493,1,0,0,0,43703.20857142857,1,0,43283.03,1,0,4684.1540700000005,,,,0,0,0,0,,,,43987.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1633071600000,43995.1,44836.0,43916.26,44788.42,4789.79567,1633075199999,83.80337528391087,1,0,0.0,0.0,0.0,0,1,0,0,96.93619322974676,87.26951551412488,1,0,0,0,43838.86,1,0,43298.340599999996,1,0,9473.94974,,,,0,0,0,0,,,,44765.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1633075200000,44788.42,44999.0,44700.0,44945.8,2953.83714,1633078799999,85.35158621533434,1,0,0.0,0.0,0.0,0,1,0,0,96.89971269894014,95.19992092627415,1,0,0,0,43961.85333333333,1,0,43359.84697599999,1,0,12427.78688,,,,0,0,0,0,,,,44980.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1633078800000,44945.81,45000.0,44767.29,44906.0,1809.73051,1633082399999,83.18600686255107,1,0,0.0,0.0,0.0,0,1,0,0,94.52523922957303,96.12038171941997,1,0,1,0,44096.46666666667,1,0,43458.19615743999,1,0,10618.05637,,,,0,0,0,0,,,,44883.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1633082400000,44905.99,47786.7,44829.4,47081.46,12252.88214,1633085999999,93.2569635333572,1,0,0.0,0.0,0.0,0,1,0,0,84.34077097123016,91.92190763324777,1,0,0,0,44467.43555555555,1,0,43581.54046484479,1,0,22870.93851,,,,0,0,0,0,,,,47102.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1633086000000,47081.47,47659.32,46957.48,47488.08,4669.20863,1633089599999,93.98246874025824,1,0,0.0,0.0,0.0,0,1,0,0,93.36940761645512,90.74513927241942,1,0,0,1,44923.99888888889,1,0,44002.056418360306,1,0,27540.14714,,,,0,0,0,0,,,,47484.99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1633089600000,47488.07,47886.11,47170.23,47214.37,5156.10571,1633093199999,87.18258657287527,1,0,0.0,0.0,0.0,0,1,0,0,85.40672766929973,87.70563541899499,1,0,1,0,45321.61888888889,1,0,44380.520776524274,1,0,22384.04143,,,,0,0,0,0,,,,47194.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1633093200000,47214.37,47379.99,46957.14,46980.94,2595.13896,1633096799999,81.75016031336118,1,0,0.7950171377676175,0.0,0.0,0,0,0,0,80.33555793077683,86.37056440551056,1,0,0,0,45694.49888888889,1,0,44801.19148334136,1,0,19788.90247,87.55077102214094,,,0,0,0,0,,,,46980.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1633096800000,46980.94,47347.53,46763.68,47130.0,3479.2201,1633100399999,82.50003782630239,1,0,0.8034397892300809,0.0,0.0,1,0,0,0,83.57382448273763,83.10537002760474,1,0,0,1,46058.90666666667,1,0,45171.3817053404,1,0,23268.12257,80.62312928542778,,,0,0,0,0,,,,47122.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1633100400000,47133.67,47490.71,47039.94,47363.68,3517.29015,1633103999999,83.63527132069147,1,0,0.8753552742170362,0.8246040670715781,0.0,1,0,0,1,88.65042536736271,84.18660259362572,1,0,0,0,46433.194444444445,1,0,45497.14910069955,1,0,26785.41272,84.18854774201303,,,0,0,0,0,,,,47378.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1633104000000,47363.69,47850.0,47232.98,47559.88,2884.13063,1633107599999,84.5419727439671,1,0,0.8029774890458945,0.8272575174976705,0.0,1,0,0,0,92.80453832631567,88.34292939213867,1,0,0,0,46741.13444444445,1,0,45783.824408615605,1,0,29669.54335,87.33477293164336,,,0,0,0,0,,,,47545.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1633107600000,47566.0,47700.0,47397.01,47617.29,1433.33933,1633111199999,84.80722904303614,1,0,0.808513370011207,0.8289487110913792,0.8269367652202093,1,0,0,0,93.93134897791023,91.7954375571962,1,0,0,0,47037.96666666667,1,0,46036.09867958173,1,0,31102.88268,87.4730446077437,,,0,0,0,0,,,,47622.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1633111200000,47617.29,47928.0,47437.86,47724.18,1810.50879,1633114799999,85.31257805664468,1,0,0.7325149779631431,0.7813352790067483,0.812513835865266,0,0,1,0,95.38073470386799,94.03887400269797,1,0,0,0,47351.09777777778,1,0,46258.100038031924,1,0,32913.39147,87.70736257855987,,,0,0,0,0,,,,47722.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1633114800000,47724.17,48190.0,47705.68,48030.0,2275.13793,1633118399999,86.67791580072482,1,0,0.7194570423999043,0.7534951301247514,0.7879263734076263,0,0,0,0,96.41336023313158,95.24181463830327,1,0,0,0,47456.49111111111,1,0,46491.88603270746,1,0,35188.5294,88.00150913750795,49220.45054156367,42254.80545843634,1,0,0,0,,,90.97817439742549,48021.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1633118400000,48029.99,48183.17,47721.74,48090.42,1733.29267,1633121999999,86.9362966695679,1,0,0.42397037216648,0.6253141308431758,0.7200481799915585,0,0,0,0,97.66995652519803,96.48801715406586,1,0,0,0,47523.41777777777,1,0,46763.58426747427,1,0,36921.82207,88.07984557173822,49451.56942464246,42463.280575357545,1,0,0,0,,,83.5368278167966,48129.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1633122000000,48090.43,48430.0,48062.59,48344.93,2069.84931,1633125599999,87.99272815590717,1,0,0.5103344049778452,0.5512539398480766,0.6433544002720013,0,0,0,0,97.71930294906166,97.26753990246375,1,0,0,0,47649.03555555555,1,0,46991.81078467838,1,0,38991.67138,87.48926766403574,49674.12507353441,42700.943926465596,1,0,0,0,,,87.53956471997344,48344.93,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,1633125600000,48344.93,48495.0,47710.01,48001.0,2501.54226,1633129199999,78.72759044015257,0,0,0.0,0.3114349257147751,0.49600099880200915,0,1,0,0,86.74789616145031,94.04571854523665,1,0,1,0,47762.375555555554,1,0,47250.68484343628,1,0,36490.12912,82.13384784496016,49738.70257796281,43098.5654220372,0,0,0,0,,,74.3641735216934,48001.01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1633129200000,48000.99,48171.37,47910.36,48141.61,967.64512,1633132799999,79.67006973267372,0,0,0.061782157417449045,0.19070552079843148,0.35113146212042773,0,1,0,0,90.35928633784374,91.60882848278523,1,0,0,0,47874.776666666665,1,0,47499.54787474902,1,0,37457.77424,81.85683233920192,49784.73959772779,43503.110402272214,0,0,0,0,,,71.45390062437038,48129.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1633132800000,48141.6,48224.01,47610.76,47817.73,2213.00452,1633136399999,71.7811399941539,0,0,0.0,0.020594052472483016,0.17424483299522986,0,1,0,0,60.88129288635279,79.32949179521562,1,0,0,0,47925.22666666666,0,1,48495.0,0,1,35244.76972,71.1366408118243,49706.93294706312,44000.18805293688,0,0,0,0,,,59.31963707784694,47812.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1633136400000,47817.73,48113.68,47692.51,47736.82,1408.80517,1633139999999,69.91854669016857,0,0,0.0,0.020594052472483016,0.07729787524779917,0,1,0,0,56.20798003835222,69.14951975418292,1,0,0,0,47944.886666666665,0,1,48477.3152,0,1,33835.96455,64.24040485062099,49566.38396924735,44529.38603075264,0,0,0,0,945.1773917316241,,55.29224545882311,47722.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1633140000000,47736.81,47880.6,47634.94,47708.51,1130.79157,1633143599999,69.24153414037838,0,0,0.0,0.0,0.013729368314988678,0,1,0,0,54.57281149643058,57.2206948070452,1,0,0,0,47955.02222222222,0,1,48459.984096,0,1,32705.172979999996,55.70344450712572,49337.91238446912,45129.19961553087,0,0,0,0,884.9847385391331,,45.29285350598817,47694.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
