datetime,open,high,low,close
2022-12-27 18:00:00,16670.35938,16678.2793,16653.84961,16654.69922
2022-12-27 17:30:00,16742.11914,16746.42969,16633.00977,16673.7207
2022-12-27 17:00:00,16767.66016,16775.85938,16735.30078,16743.93945
2022-12-27 16:30:00,16776.66016,16783.2207,16757.15039,16767.13086
2022-12-27 16:00:00,16791.25,16794.63086,16748.85938,16771.68945
2022-12-27 15:30:00,16815.48047,16816.28906,16787.09961,16791.80078
2022-12-27 15:00:00,16770.94922,16828.41992,16741.74023,16816.28906
2022-12-27 14:30:00,16811.98047,16812.18945,16743.65039,16769.41992
2022-12-27 14:00:00,16815.01953,16823.99023,16809.33984,16811.5
2022-12-27 13:30:00,16829.05078,16829.89062,16805.75,16813.94922
2022-12-27 13:00:00,16807.9707,16833.2207,16800.51953,16828.08984
2022-12-27 12:30:00,16821.71094,16833.44922,16804.0,16809.09961
2022-12-27 12:00:00,16830.50977,16832.56055,16816.53906,16820.69922
2022-12-27 11:30:00,16828.80078,16835.41992,16818.21094,16831.10938
2022-12-27 11:00:00,16854.88086,16856.31055,16807.5293,16829.26953
2022-12-27 10:30:00,16854.57031,16856.35938,16843.66992,16855.68945
2022-12-27 10:00:00,16874.03906,16875.56055,16848.61914,16853.92969
2022-12-27 09:30:00,16854.59961,16874.60938,16853.91992,16874.43945
2022-12-27 09:00:00,16848.69922,16858.61914,16837.58984,16854.66016
2022-12-27 08:30:00,16867.64062,16869.06055,16848.07031,16848.84961
2022-12-27 08:00:00,16867.78906,16869.41016,16846.55078,16867.10938
2022-12-27 07:30:00,16878.75977,16880.5,16851.73047,16866.66992
2022-12-27 07:00:00,16882.63086,16885.01953,16869.91016,16878.35938
2022-12-27 06:30:00,16861.61914,16886.91992,16861.61914,16881.80078
2022-12-27 06:00:00,16867.15039,16870.58008,16856.81055,16866.92969
2022-12-27 05:30:00,16874.98047,16881.85938,16866.53906,16867.2793
2022-12-27 05:00:00,16887.5293,16891.28906,16873.9707,16874.86914
2022-12-27 04:30:00,16867.36914,16889.58984,16865.57031,16888.59961
2022-12-27 04:00:00,16867.46094,16875.58008,16863.0293,16869.15039
2022-12-27 03:30:00,16866.69922,16874.68945,16856.83984,16865.16016
2022-12-27 03:00:00,16877.49023,16879.92969,16854.5293,16865.38086
2022-12-27 02:30:00,16883.05078,16887.00977,16868.30078,16878.06055
2022-12-27 02:00:00,16862.59961,16887.86914,16862.59961,16884.41016
2022-12-27 01:30:00,16867.32031,16867.44922,16851.68945,16863.00977
2022-12-27 01:00:00,16865.38086,16887.08008,16854.23047,16864.34961
2022-12-27 00:30:00,16904.35938,16911.64062,16841.60938,16867.42969
2022-12-27 00:00:00,16917.19922,16963.83984,16898.16016,16901.31055
2022-12-26 23:30:00,16852.25977,16935.59961,16846.92969,16917.19922
2022-12-26 23:00:00,16835.78906,16857.92969,16821.14062,16853.11914
2022-12-26 22:30:00,16838.39062,16841.80078,16832.33984,16835.41992
2022-12-26 22:00:00,16832.07031,16844.99023,16828.78906,16838.2207
2022-12-26 21:30:00,16841.84961,16844.14062,16827.35938,16831.46094
2022-12-26 21:00:00,16836.9707,16847.63086,16835.25977,16843.93945
2022-12-26 20:30:00,16839.98047,16841.51953,16831.67969,16840.56055
2022-12-26 20:00:00,16840.56055,16845.7207,16837.26953,16840.33984
2022-12-26 19:30:00,16839.94922,16851.25,16836.23047,16839.82031
2022-12-26 19:00:00,16814.08984,16855.7207,16812.25,16840.23047
2022-12-26 18:30:00,16822.66992,16823.90039,16811.74023,16814.08984
2022-12-26 18:00:00,16835.64062,16840.89062,16815.73047,16823.90039
2022-12-26 17:30:00,16827.61914,16841.4707,16827.61914,16834.56055
2022-12-26 17:00:00,16840.08008,16840.08008,16825.35938,16829.08008
2022-12-26 16:30:00,16827.94922,16840.44922,16826.69922,16837.84961
2022-12-26 16:00:00,16806.10938,16830.85938,16796.84961,16826.75977
2022-12-26 15:30:00,16814.58008,16814.86914,16796.33984,16806.86914
2022-12-26 15:00:00,16830.42969,16836.2207,16808.66992,16814.86914
2022-12-26 14:30:00,16838.25,16840.99023,16825.60938,16830.66992
2022-12-26 14:00:00,16836.9707,16841.96094,16832.98047,16837.93945
2022-12-26 13:30:00,16849.43945,16852.33008,16831.10938,16837.00977
2022-12-26 13:00:00,16854.41016,16856.58984,16834.09961,16846.13086
2022-12-26 12:30:00,16857.69922,16862.86914,16852.88086,16854.34961
2022-12-26 12:00:00,16859.34961,16864.41016,16850.15039,16858.58984
2022-12-26 11:30:00,16858.9707,16868.30078,16856.63086,16858.42969
2022-12-26 11:00:00,16844.84961,16866.78906,16843.06055,16862.35938
2022-12-26 10:30:00,16843.60938,16861.5,16843.60938,16846.13086
2022-12-26 10:00:00,16830.84961,16846.53906,16828.08008,16844.7207
2022-12-26 09:30:00,16844.28906,16849.94922,16837.07031,16837.07031
2022-12-26 09:00:00,16837.93945,16845.88086,16830.83984,16844.08008
2022-12-26 08:30:00,16835.53906,16840.75,16831.80078,16837.66016
2022-12-26 08:00:00,16842.4707,16846.58008,16822.69922,16836.19922
2022-12-26 07:30:00,16850.66992,16852.34961,16838.41016,16841.5293
2022-12-26 07:00:00,16853.19922,16853.43945,16838.61914,16852.34961
2022-12-26 06:30:00,16864.21094,16865.33984,16848.51953,16850.56055
2022-12-26 06:00:00,16852.51953,16866.36914,16850.41016,16863.28906
2022-12-26 05:30:00,16863.83008,16869.06055,16851.98047,16853.33008
2022-12-26 05:00:00,16875.08984,16884.84961,16860.07031,16862.56055
2022-12-26 04:30:00,16874.11914,16878.57031,16867.36914,16875.66016
2022-12-26 04:00:00,16894.10938,16912.99023,16870.26953,16873.65039
2022-12-26 03:30:00,16883.07031,16895.36914,16879.01953,16893.39062
2022-12-26 03:00:00,16888.83984,16892.7207,16874.74023,16882.33008
2022-12-26 02:30:00,16885.85938,16894.66016,16867.69922,16886.19922
2022-12-26 02:00:00,16846.42969,16882.89062,16845.91016,16878.73047
2022-12-26 01:30:00,16830.46094,16854.33984,16830.46094,16845.11914
2022-12-26 01:00:00,16827.55078,16837.58008,16824.2207,16830.67969
2022-12-26 00:30:00,16822.48047,16834.0,16822.48047,16829.48047
2022-12-26 00:00:00,16830.33008,16834.73047,16820.09961,16823.30078
2022-12-25 23:30:00,16813.11914,16833.30078,16810.39062,16830.33008
2022-12-25 23:00:00,16815.25977,16835.16016,16812.60938,16814.69922
2022-12-25 22:30:00,16823.81055,16826.32031,16806.7793,16816.08984
2022-12-25 22:00:00,16823.65039,16841.2207,16815.50977,16826.66016
2022-12-25 21:30:00,16800.38086,16841.38086,16794.2207,16823.66016
2022-12-25 21:00:00,16766.0293,16810.67969,16764.94922,16799.4707
2022-12-25 20:30:00,16771.41016,16771.55078,16756.11914,16765.25
2022-12-25 20:00:00,16791.34961,16792.08984,16770.09961,16771.65039
2022-12-25 19:30:00,16746.21094,16792.66016,16737.68945,16792.43945
2022-12-25 19:00:00,16776.81055,16778.25977,16732.80078,16745.88086
2022-12-25 18:30:00,16794.33984,16798.23047,16775.66992,16780.21094
2022-12-25 18:00:00,16798.89062,16800.15039,16786.40039,16794.16992
2022-12-25 17:30:00,16807.43945,16810.26953,16796.28906,16799.24023
2022-12-25 17:00:00,16814.41992,16816.84961,16796.2207,16807.32031
2022-12-25 16:30:00,16799.36914,16816.67969,16793.89062,16813.4707
2022-12-25 16:00:00,16798.23047,16803.5,16771.78906,16798.94922
2022-12-25 15:30:00,16816.68945,16830.76953,16787.58008,16798.25
2022-12-25 15:00:00,16811.57031,16851.32031,16808.34961,16819.26953
2022-12-25 14:30:00,16807.33008,16816.94922,16738.43945,16812.09961
2022-12-25 14:00:00,16811.05078,16812.82031,16804.59961,16807.19922
2022-12-25 13:30:00,16816.90039,16818.09961,16801.41992,16810.96094
2022-12-25 13:00:00,16817.05078,16822.26953,16816.93945,16816.93945
2022-12-25 12:30:00,16817.58008,16825.0,16817.05078,16817.86914
2022-12-25 12:00:00,16824.71094,16824.71094,16815.41992,16818.83008
